            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2019-20",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 30 March 2021,,,,,,,,,,,,,,,,,,,,,,
"Table 7. Estimated resident population, Statistical Areas Level 2, Northern Territory",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2019-20,,,,,,
,,,,,,,,,,2019,2020,,2019-2020,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2020,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031033,Koolpinyah,26,26,,0,0.0,,0,0,0,,1199.6,0.0,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031034,Virginia,3531,3557,,26,0.7,,23,3,0,,54.7,65.0,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031035,Weddell,4804,4816,,12,0.2,,38,-27,1,,1408.5,3.4,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041036,Bakewell,3226,3195,,-31,-1.0,,44,-78,3,,1.3,2423.2,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041037,Driver,2949,2912,,-37,-1.3,,38,-76,1,,1.7,1697.3,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041038,Durack - Marlow Lagoon,4758,4741,,-17,-0.4,,80,-98,1,,11.7,404.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041039,Gray,3393,3356,,-37,-1.1,,51,-89,1,,1.5,2233.0,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041040,Moulden,3102,3083,,-19,-0.6,,50,-69,0,,1.8,1761.3,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041041,Palmerston - North,4508,4491,,-17,-0.4,,70,-88,1,,4.8,942.5,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041042,Palmerston - South,5677,6508,,831,14.6,,145,683,3,,25.0,260.5,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041043,Rosebery - Bellamack,7288,7346,,58,0.8,,116,-62,4,,3.2,2313.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041044,Woodroffe,3376,3385,,9,0.3,,40,-32,1,,1.6,2118.7,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011045,Charles,4373,4284,,-89,-2.0,,45,-137,3,,16.7,256.6,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011046,East Side,5531,5580,,49,0.9,,78,-34,5,,25.8,216.6,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011047,Flynn (NT),4767,4805,,38,0.8,,63,-30,5,,17.1,281.6,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011048,Larapinta,5158,5164,,6,0.1,,82,-78,2,,58.6,88.2,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011049,Mount Johns,3979,3993,,14,0.4,,68,-64,10,,19.0,210.7,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011050,Petermann - Simpson,2756,2718,,-38,-1.4,,20,-61,3,,175242.2,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011051,Ross,2612,2622,,10,0.4,,-10,19,1,,190.7,13.8,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011052,Sandover - Plenty,4545,4553,,8,0.2,,33,-25,0,,129516.5,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011053,Tanami,3233,3265,,32,1.0,,30,1,1,,192633.3,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011054,Yuendumu - Anmatjere,2399,2407,,8,0.3,,32,-24,0,,71845.1,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70202,Barkly,702021055,Barkly,2839,2840,,1,0.0,,33,-32,0,,303171.9,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70202,Barkly,702021056,Tennant Creek,3256,3302,,46,1.4,,50,-5,1,,42.1,78.5,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70203,Daly - Tiwi - West Arnhem,702031057,Alligator,4721,4701,,-20,-0.4,,23,-44,1,,33100.7,0.1,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70203,Daly - Tiwi - West Arnhem,702031058,Daly,2036,2045,,9,0.4,,18,-10,1,,34828.1,0.1,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70203,Daly - Tiwi - West Arnhem,702031059,Thamarrurr,2901,2912,,11,0.4,,17,-6,0,,3373.7,0.9,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70203,Daly - Tiwi - West Arnhem,702031060,Tiwi Islands,2743,2743,,0,0.0,,15,-15,0,,7483.2,0.4,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70203,Daly - Tiwi - West Arnhem,702031061,West Arnhem,5478,5508,,30,0.5,,31,-1,0,,33509.2,0.2,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70204,East Arnhem,702041062,Anindilyakwa,2709,2715,,6,0.2,,13,-8,1,,2609.0,1.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70204,East Arnhem,702041063,East Arnhem,8544,8559,,15,0.2,,57,-43,1,,30989.9,0.3,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70204,East Arnhem,702041064,Nhulunbuy,3275,3291,,16,0.5,,46,-31,1,,7.6,430.4,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70205,Katherine,702051065,Elsey,2642,2650,,8,0.3,,30,-22,0,,92949.7,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70205,Katherine,702051066,Gulf,4709,4731,,22,0.5,,36,-15,1,,92275.0,0.1,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70205,Katherine,702051067,Katherine,10721,10710,,-11,-0.1,,120,-134,3,,7416.9,1.4,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70205,Katherine,702051068,Victoria River,2801,2814,,13,0.5,,47,-34,0,,133608.6,0.0,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TOTAL NORTHERN TERRITORY,246143,246143,,0,0.0,,2525,-2697,172,,1348094.3,0.2,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Source: Regional population, 2019-20",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ý Commonwealth of Australia 2021,,,,,,,,,,,,,,,,,,,,,,
