            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2019-20",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 30 March 2021,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Estimated resident population, Statistical Areas Level 2, Victoria",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2019-20,,,,,,
,,,,,,,,,,2019,2020,,2019-2020,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2020,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21201,Cardinia,212011290,Koo Wee Rup,8566,9072,,506,5.9,,78,418,10,,409.4,22.2,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21201,Cardinia,212011291,Pakenham - North,22663,23332,,669,3.0,,390,193,86,,37.2,626.8,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21201,Cardinia,212011292,Pakenham - South,33116,33943,,827,2.5,,340,284,203,,49.8,682.2,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021293,Berwick - North,24176,24123,,-53,-0.2,,5,-241,183,,19.7,1221.5,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021294,Berwick - South,29086,29464,,378,1.3,,257,-114,235,,14.9,1983.4,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021295,Doveton,12277,12433,,156,1.3,,92,-88,152,,5.2,2394.0,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021297,Hallam,11771,11793,,22,0.2,,56,-185,151,,8.1,1463.8,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021299,Narre Warren North,8645,8753,,108,1.2,,3,71,34,,34.4,254.4,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021453,Endeavour Hills - North,12501,12339,,-162,-1.3,,47,-279,70,,14.5,852.5,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021454,Endeavour Hills - South,14047,14033,,-14,-0.1,,116,-249,119,,5.6,2511.6,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021455,Narre Warren - North East,14198,14191,,-7,0.0,,134,-233,92,,4.9,2911.6,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21202,Casey - North,212021456,Narre Warren - South West,15014,15073,,59,0.4,,134,-243,168,,9.3,1619.8,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031300,Cranbourne,21314,21427,,113,0.5,,227,-276,162,,13.0,1644.8,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031301,Cranbourne East,49218,55510,,6292,12.8,,1143,4805,344,,42.9,1294.2,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031302,Cranbourne North,24913,25539,,626,2.5,,390,38,198,,10.2,2494.2,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031303,Cranbourne South,11972,13871,,1899,15.9,,204,1668,27,,81.7,169.9,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031304,Cranbourne West,19763,20857,,1094,5.5,,362,585,147,,12.9,1617.1,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031305,Hampton Park - Lynbrook,27667,27579,,-88,-0.3,,323,-767,356,,13.3,2067.0,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031306,Lynbrook - Lyndhurst,17492,17951,,459,2.6,,182,77,200,,7.4,2439.6,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031308,Pearcedale - Tooradin,8176,8169,,-7,-0.1,,70,-85,8,,98.5,82.9,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031457,Narre Warren South (East),13866,13718,,-148,-1.1,,83,-299,68,,6.2,2205.3,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031458,Narre Warren South (West),17866,17777,,-89,-0.5,,164,-409,156,,6.8,2623.1,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041309,Clarinda - Oakleigh South,12341,12294,,-47,-0.4,,27,-193,119,,6.3,1944.4,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041310,Clayton South,14298,14412,,114,0.8,,139,-476,451,,7.9,1815.6,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041311,Dandenong,34309,34199,,-110,-0.3,,268,-1156,778,,61.8,553.2,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041312,Dandenong North,23966,23667,,-299,-1.2,,135,-694,260,,9.5,2502.1,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041313,Dingley Village,10754,10727,,-27,-0.3,,21,-99,51,,7.2,1480.9,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041314,Keysborough,30898,31487,,589,1.9,,259,7,323,,30.3,1039.9,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041316,Noble Park North,7938,7916,,-22,-0.3,,53,-143,68,,3.8,2106.8,
