OBJECTID,POA_CODE_2016,POA_NAME_2016,ActiveCases,Population,IRSD_Score,IRSD_Decile_VIC,IRSD_Perc_VIC,data_date,SHAPE_Length,SHAPE_Area
53,3057,3057,0,11504,1091,10,91,2021/01/30 00:00:00+00,0.0806231601370017,0.00023047754957875
54,3058,3058,0,33778,1037,8,74,2021/01/30 00:00:00+00,0.160619759279454,0.0011959286994101
55,3059,3059,0,15466,1049,8,78,2021/01/30 00:00:00+00,0.2839082057798,0.00311632523903135
56,3060,3060,0,14043,925,2,14,2021/01/30 00:00:00+00,0.11799118081012,0.000532690722820824
57,3061,3061,0,5056,844,1,2,2021/01/30 00:00:00+00,0.181984585527972,0.00125252999071631
58,3062,3062,0,,,,,2021/01/30 00:00:00+00,0.116819899030722,0.000551928902003749
59,3063,3063,0,573,1059,9,82,2021/01/30 00:00:00+00,0.451480785493529,0.00459508666032356
60,3064,3064,0,75457,957,3,28,2021/01/30 00:00:00+00,0.611005825158305,0.0109423451645726
61,3065,3065,0,10445,1022,7,67,2021/01/30 00:00:00+00,0.0498945544092938,0.000145269449363959
62,3066,3066,0,8513,999,6,53,2021/01/30 00:00:00+00,0.0484642250627257,0.00013543781366972
63,3067,3067,0,8197,1114,10,96,2021/01/30 00:00:00+00,0.0934981737185086,0.000187494609999446
64,3068,3068,0,18662,1113,10,95,2021/01/30 00:00:00+00,0.0955899059545069,0.00041528372129881
65,3070,3070,0,24561,1094,10,91,2021/01/30 00:00:00+00,0.120053105042689,0.000614379343612435
66,3071,3071,0,18568,1057,9,81,2021/01/30 00:00:00+00,0.132651863186053,0.000524689107780682
67,3072,3072,0,32851,1011,7,62,2021/01/30 00:00:00+00,0.180570569982903,0.00117242451826239
68,3073,3073,0,50474,960,3,30,2021/01/30 00:00:00+00,0.283363742238116,0.00193743243217057
69,3074,3074,0,20523,888,1,4,2021/01/30 00:00:00+00,0.230247086681563,0.00150630913397174
70,3075,3075,0,22594,906,1,8,2021/01/30 00:00:00+00,0.164376373445078,0.000790367481167439
71,3076,3076,0,32395,966,4,33,2021/01/30 00:00:00+00,0.337112725700548,0.00360506038843119
72,3078,3078,0,11638,1101,10,93,2021/01/30 00:00:00+00,0.212747143945273,0.000650119840284412
73,3079,3079,0,15988,1114,10,96,2021/01/30 00:00:00+00,0.20122404504827,0.000782859183604332
74,3081,3081,0,13424,942,2,20,2021/01/30 00:00:00+00,0.125749367178603,0.000634793257337413
75,3082,3082,0,29710,995,5,50,2021/01/30 00:00:00+00,0.197714663033081,0.00133299425347342
76,3083,3083,0,31526,1015,7,64,2021/01/30 00:00:00+00,0.303811359675496,0.00165446057296485
77,3084,3084,0,25517,1088,9,89,2021/01/30 00:00:00+00,0.231430602492415,0.00133627150742166
78,3085,3085,0,13886,1071,9,85,2021/01/30 00:00:00+00,0.174056961126894,0.000766679882317185
79,3086,3086,0,,,,,2021/01/30 00:00:00+00,0.0765465993869298,0.000244298412517837
80,3087,3087,0,9031,1023,7,68,2021/01/30 00:00:00+00,0.115423430427443,0.000382812210498226
81,3088,3088,0,26892,1059,9,81,2021/01/30 00:00:00+00,0.233697774382448,0.00134342752098268
82,3089,3089,0,11733,1077,9,87,2021/01/30 00:00:00+00,0.271150581139249,0.00182201025493636
83,3090,3090,0,2364,1116,10,96,2021/01/30 00:00:00+00,0.215293188319165,0.00112099355401835
84,3091,3091,0,1588,1097,10,92,2021/01/30 00:00:00+00,0.281201241936358,0.00156718207087833
85,3093,3093,0,3891,1105,10,94,2021/01/30 00:00:00+00,0.161783800879181,0.000696510572352673
86,3094,3094,0,8960,1073,9,87,2021/01/30 00:00:00+00,0.10182215044363,0.00039156887791459
87,3095,3095,0,27771,1104,10,94,2021/01/30 00:00:00+00,0.319728892088678,0.00308875812036774
88,3096,3096,0,1961,1061,9,82,2021/01/30 00:00:00+00,0.203304052181638,0.000917311546259732
89,3097,3097,0,1443,1124,10,98,2021/01/30 00:00:00+00,0.545542290926099,0.00406493788857248
90,3099,3099,0,4878,1065,9,84,2021/01/30 00:00:00+00,0.823011274865089,0.0101984918608772
91,3101,3101,0,24605,1134,10,99,2021/01/30 00:00:00+00,0.240181590994058,0.00107158105156901
92,3102,3102,0,6635,1120,10,97,2021/01/30 00:00:00+00,0.117680268839036,0.000415768275649091
93,3103,3103,0,15343,1106,10,94,2021/01/30 00:00:00+00,0.136346463502651,0.000540057433905893
94,3104,3104,0,20406,1109,10,95,2021/01/30 00:00:00+00,0.141284454891596,0.000930299333027131
95,3105,3105,0,10873,1053,8,80,2021/01/30 00:00:00+00,0.173976154762206,0.00066578503416569
96,3106,3106,0,16618,1098,10,92,2021/01/30 00:00:00+00,0.212423530693421,0.00165042741488855
97,3107,3107,0,13552,1072,9,86,2021/01/30 00:00:00+00,0.13415713431102,0.000606823847386713
98,3108,3108,0,20826,1051,8,79,2021/01/30 00:00:00+00,0.15603287012553,0.000896713638047822
99,3109,3109,0,28360,1064,9,83,2021/01/30 00:00:00+00,0.208743233082695,0.00113599143936192
100,3111,3111,0,12347,1090,9,90,2021/01/30 00:00:00+00,0.232461265216602,0.00119451249756444
101,3113,3113,0,8457,1122,10,97,2021/01/30 00:00:00+00,0.300342987975144,0.0026697806534551
102,3114,3114,0,3822,1141,10,99,2021/01/30 00:00:00+00,0.158672325026738,0.000968909375685027
103,3115,3115,0,3796,1108,10,95,2021/01/30 00:00:00+00,0.33641698945928,0.0023734317351533
104,3116,3116,0,9872,1033,8,72,2021/01/30 00:00:00+00,0.233760550701071,0.00226921114932044
105,3121,3121,0,30499,1081,9,88,2021/01/30 00:00:00+00,0.123555639496391,0.000635829434929439
106,3122,3122,0,23511,1118,10,96,2021/01/30 00:00:00+00,0.130634757841487,0.00060166692781263
107,3123,3123,0,14321,1127,10,98,2021/01/30 00:00:00+00,0.111515636562807,0.000356191281755737
108,3124,3124,0,22094,1137,10,99,2021/01/30 00:00:00+00,0.159084424318521,0.000777793956030589
109,3125,3125,0,15019,1050,8,79,2021/01/30 00:00:00+00,0.133335046880901,0.000623906961673195
110,3126,3126,0,8056,1150,10,100,2021/01/30 00:00:00+00,0.116557842702501,0.000320167062073574
111,3127,3127,0,18445,1138,10,99,2021/01/30 00:00:00+00,0.110093990519822,0.000625600371563162
112,3128,3128,0,19828,1046,8,77,2021/01/30 00:00:00+00,0.114490920475809,0.000719663940435112
113,3129,3129,0,17376,1068,9,85,2021/01/30 00:00:00+00,0.121955994489395,0.000627095097319792
114,3130,3130,0,32174,1071,9,86,2021/01/30 00:00:00+00,0.175666404915809,0.00124783183898509
115,3131,3131,0,22504,1042,8,75,2021/01/30 00:00:00+00,0.18518551554174,0.000935554619285454
116,3132,3132,0,16148,1065,9,83,2021/01/30 00:00:00+00,0.114305352438849,0.000679496302059685
117,3133,3133,0,22125,1072,9,86,2021/01/30 00:00:00+00,0.177578780430529,0.00110561600689608
118,3134,3134,0,32781,1051,8,79,2021/01/30 00:00:00+00,0.339862418535415,0.00233958049928587
119,3135,3135,0,19956,1046,8,77,2021/01/30 00:00:00+00,0.185566858406048,0.000937417477671252
120,3136,3136,0,44369,1026,7,70,2021/01/30 00:00:00+00,0.283195408343847,0.00235677805124688
121,3137,3137,0,13871,1002,6,54,2021/01/30 00:00:00+00,0.217652654492809,0.00129682431833671
122,3138,3138,0,21967,1014,7,63,2021/01/30 00:00:00+00,0.207011853870999,0.00127875241772751
123,3139,3139,0,13718,998,6,52,2021/01/30 00:00:00+00,1.1827671040324,0.0243705858159328
124,3140,3140,0,16531,1006,6,57,2021/01/30 00:00:00+00,0.293634692380618,0.00298455269321074
125,3141,3141,0,25147,1109,10,95,2021/01/30 00:00:00+00,0.0941189081898908,0.000362680775678951
126,3142,3142,0,12909,1144,10,100,2021/01/30 00:00:00+00,0.0917270869253022,0.000438219963973146
127,3143,3143,0,9054,1120,10,97,2021/01/30 00:00:00+00,0.0750689535167489,0.000221830214045294
128,3144,3144,0,10886,1146,10,100,2021/01/30 00:00:00+00,0.102273766952404,0.000349322767337267
129,3145,3145,0,23295,1119,10,97,2021/01/30 00:00:00+00,0.174983649226118,0.000918868430293046
130,3146,3146,0,25255,1142,10,100,2021/01/30 00:00:00+00,0.160725829015103,0.000851709714070276
131,3147,3147,0,14637,1080,9,88,2021/01/30 00:00:00+00,0.135671873727228,0.000550941225281792
132,3148,3148,0,8641,1043,8,76,2021/01/30 00:00:00+00,0.0716034043540864,0.000306395121520592
133,3149,3149,0,33611,1081,9,88,2021/01/30 00:00:00+00,0.158493588646219,0.00155517719874708
134,3150,3150,0,60079,1076,9,87,2021/01/30 00:00:00+00,0.285737029069651,0.0027947708639457
135,3151,3151,0,10273,1036,8,74,2021/01/30 00:00:00+00,0.103750187549588,0.000436729061957791
136,3152,3152,0,33092,1054,8,80,2021/01/30 00:00:00+00,0.276203633535865,0.00227953020308806
137,3153,3153,0,20554,991,5,47,2021/01/30 00:00:00+00,0.23913601179906,0.00148091446548114
138,3154,3154,0,4419,1028,8,71,2021/01/30 00:00:00+00,0.151321318525614,0.00065252457731941
139,3155,3155,0,22195,992,5,47,2021/01/30 00:00:00+00,0.24353510560104,0.00116294223491214
140,3156,3156,0,37464,1028,8,71,2021/01/30 00:00:00+00,0.48378001766226,0.00548191234907844
141,3158,3158,0,6652,1052,8,79,2021/01/30 00:00:00+00,0.132401499293196,0.000637588485035075
142,3159,3159,0,2648,1063,9,83,2021/01/30 00:00:00+00,0.216147743835392,0.00143805520545261
143,3160,3160,0,9014,1052,8,79,2021/01/30 00:00:00+00,0.287576759697637,0.00214635341268215
144,3161,3161,0,15269,1123,10,98,2021/01/30 00:00:00+00,0.0903274725372503,0.0004304629267571
145,3162,3162,0,17448,1112,10,95,2021/01/30 00:00:00+00,0.0863897437485549,0.000485683610582937
146,3163,3163,0,32353,1078,9,88,2021/01/30 00:00:00+00,0.123046845803197,0.000738852009223517
147,3165,3165,0,27635,1072,9,86,2021/01/30 00:00:00+00,0.133379498732369,0.000924121136159309
148,3166,3166,0,23757,1049,8,78,2021/01/30 00:00:00+00,0.152470570107117,0.000867124258847934
149,3167,3167,0,9261,1027,7,70,2021/01/30 00:00:00+00,0.120555372606569,0.000683408209364227
150,3168,3168,0,20197,1025,7,69,2021/01/30 00:00:00+00,0.191609004391143,0.00084262487631612
151,3169,3169,0,20122,970,4,35,2021/01/30 00:00:00+00,0.13743898241474,0.00117424516856649
152,3170,3170,0,19368,1041,8,75,2021/01/30 00:00:00+00,0.204393101841208,0.0010979431654231
153,3171,3171,0,21714,888,1,4,2021/01/30 00:00:00+00,0.163712098210371,0.00113515668197886
154,3172,3172,0,23089,965,4,32,2021/01/30 00:00:00+00,0.168151980302862,0.00130619417438327
155,3173,3173,0,25785,996,5,50,2021/01/30 00:00:00+00,0.204855898343889,0.00222637890956624
156,3174,3174,0,38461,909,1,8,2021/01/30 00:00:00+00,0.210625056729382,0.00126324301119425
157,3175,3175,0,53297,895,1,5,2021/01/30 00:00:00+00,0.508828901775723,0.00757309467722485
158,3177,3177,0,11306,844,1,2,2021/01/30 00:00:00+00,0.119053686390429,0.000535488803344006
159,3178,3178,0,33672,1063,9,83,2021/01/30 00:00:00+00,0.275313675385672,0.00223219514956866
160,3179,3179,0,6022,1027,7,70,2021/01/30 00:00:00+00,0.197304894123634,0.000888875892198338
161,3180,3180,0,7462,1025,7,70,2021/01/30 00:00:00+00,0.143890868582182,0.000580338919854567
162,3181,3181,0,20260,1102,10,93,2021/01/30 00:00:00+00,0.0894402070091218,0.00029958864024954
163,3182,3182,0,23391,1084,9,89,2021/01/30 00:00:00+00,0.103164555336289,0.000381193119681879
164,3183,3183,0,18497,1091,9,90,2021/01/30 00:00:00+00,0.0776335838353257,0.000309595319326664
165,3184,3184,0,15543,1116,10,96,2021/01/30 00:00:00+00,0.0753857767882158,0.00026579856786795
166,3185,3185,0,12929,1106,10,94,2021/01/30 00:00:00+00,0.0858018465332017,0.000322627189716782
167,3186,3186,0,23253,1144,10,100,2021/01/30 00:00:00+00,0.13767871834971,0.000858247531938108
168,3187,3187,0,15998,1123,10,98,2021/01/30 00:00:00+00,0.126794614444553,0.000576376689825571
169,3188,3188,0,18083,1106,10,94,2021/01/30 00:00:00+00,0.12706601016333,0.000568018870269871
170,3189,3189,0,5895,1048,8,77,2021/01/30 00:00:00+00,0.108851788295052,0.000469874100258531
171,3190,3190,0,10454,1070,9,85,2021/01/30 00:00:00+00,0.103041683418788,0.000374422568723134
172,3191,3191,0,10241,1129,10,98,2021/01/30 00:00:00+00,0.122012867370867,0.000402440822983248
173,3192,3192,0,22291,1054,8,80,2021/01/30 00:00:00+00,0.194195624591962,0.00108337790288747
174,3193,3193,0,19508,1136,10,99,2021/01/30 00:00:00+00,0.143448200894816,0.000855448172069062
175,3194,3194,0,12965,1065,9,84,2021/01/30 00:00:00+00,0.169631571846268,0.000772668924391884
176,3195,3195,0,35869,1080,9,88,2021/01/30 00:00:00+00,0.222216598711648,0.00251428133145438
177,3196,3196,0,25327,1029,8,71,2021/01/30 00:00:00+00,0.150535030949066,0.00109565608999623
178,3197,3197,0,11548,1041,8,75,2021/01/30 00:00:00+00,0.130790325875051,0.000598001269874486
179,3198,3198,0,16463,975,4,38,2021/01/30 00:00:00+00,0.168284603234851,0.0012725865421949
180,3199,3199,0,54298,984,5,43,2021/01/30 00:00:00+00,0.25358535896144,0.00353040341960987
181,3200,3200,0,5762,822,1,1,2021/01/30 00:00:00+00,0.125698164633443,0.000526006646168224
182,3201,3201,0,20711,948,3,23,2021/01/30 00:00:00+00,0.233357996598904,0.00208851116395594
183,3202,3202,0,2907,1065,9,84,2021/01/30 00:00:00+00,0.124206952272631,0.000728490973074443
184,3204,3204,0,30635,1092,10,91,2021/01/30 00:00:00+00,0.138293252111513,0.000854642230981796
185,3205,3205,0,10920,1079,9,88,2021/01/30 00:00:00+00,0.09448466417462,0.00022422186057017
186,3206,3206,0,10359,1136,10,99,2021/01/30 00:00:00+00,0.0985111996907436,0.000378087248751286
187,3207,3207,0,16175,1113,10,95,2021/01/30 00:00:00+00,0.189551574838697,0.000978170434179265
188,3211,3211,0,1322,1029,8,71,2021/01/30 00:00:00+00,0.737969002047439,0.0185646693410827
189,3212,3212,0,16652,1000,6,53,2021/01/30 00:00:00+00,0.936146044217801,0.0194621162480016
